target,,CDH1,CDH1,MSI,MSI,PIK3CA,PIK3CA,TP53,TP53,subtype,subtype
stats,,mean,std,mean,std,mean,std,mean,std,mean,std
model,feature_extractor,,,,,,,,,,
AttentionMIL,bt,0.040381225795745324,0.014882863199776924,0.3328428133964224,0.07357947652488679,0.13111878172683603,0.023538169537858984,0.023166071567535647,0.0236038282930085,0.11309125185013334,0.040530543273905546
AttentionMIL,ctranspath,0.02107795164108209,0.029036015623138883,0.07173170890808403,0.05684774833476969,0.036661632221223234,0.013537974193930508,0.028048228416442954,0.023850667756195303,0.0013496255874632767,0.003716554250240165
AttentionMIL,dino_p16,0.009998592586517484,0.011960856535090183,0.010466252231597993,0.01627333556587375,0.016804511707305417,0.015373620999550579,0.042863046321866945,0.026436322607011547,0.044301042556761004,0.03204392085140508
AttentionMIL,owkin,0.04460740968704292,0.013954707460114728,0.0286246761322025,0.030363227440390814,0.052318759124754914,0.01870856998205463,0.08879457632064561,0.03586271776462611,0.10980601072311234,0.030453357458675626
AttentionMIL,resnet50,0.18355655357362036,0.036118668955799654,0.1807851776123011,0.028316348601698516,0.0133759214096065,0.011094903638139737,0.1679752937889113,0.05457944781508943,0.17176015138626308,0.03516431673244709
AttentionMIL,retccl,0.03489864751815624,0.020714361476925472,0.07018848505020078,0.0340054840215156,0.023461635272979568,0.0183107732784217,0.03234116950988578,0.03844931927605649,0.08524267435073868,0.03904103385351603
AttentionMIL,swav,0.026332136840821464,0.02724340959179931,0.12348067607879643,0.03951074617107182,0.05140450732039958,0.026157999064725133,0.03624128023147554,0.017693407670208577,0.054316637516020845,0.028419360442933733
AttentionMIL,swin,0.19640637323379584,0.0425989072987789,0.13747241344450847,0.026095172629396455,0.04509021775054795,0.029056716139273592,0.23722331443786443,0.028643890774734292,0.07968046426773116,0.030228426428608304
AttentionMIL,vit,0.11530985519408832,0.03158239033756958,0.14271935071943967,0.03825782184997619,0.041604502361297035,0.04012580069301973,0.12218402544021514,0.01721813329223854,0.10532052278518855,0.03910335668772882
MeanAveragePooling,bt,0.021193340225218533,0.008256653599161336,0.10887736940383606,0.03783881663509035,0.05016539752197096,0.013825983048822446,0.03102597848129513,0.02721777638918994,0.056000196933745444,0.03460371835595345
MeanAveragePooling,ctranspath,0.005202498836517949,0.006430741210809138,0.028578993320465065,0.029545506040425017,0.005822569725036569,0.00811730466600186,0.018399712001800496,0.024851784359345253,0.0,0.0
MeanAveragePooling,dino_p16,0.016510310573578282,0.011785984372964605,0.04179918432235519,0.038490566972897995,0.034108275768281994,0.01801659415596745,0.04488680020523074,0.044281584781332914,0.0451134562492381,0.009027983753874567
MeanAveragePooling,owkin,0.009085979862212759,0.00921880416046414,0.016902050018311146,0.02583619071690978,0.07802257001114284,0.03697322744928246,0.11486440554809545,0.03165080257930777,0.1099293231964118,0.006369273555900445
MeanAveragePooling,resnet50,0.10971420089721713,0.044171680016862586,0.1473547186851589,0.04901626053600232,0.025822538730620945,0.012863595625154867,0.0747409190292376,0.025101053987076162,0.07547754049301154,0.0038950009888893125
MeanAveragePooling,retccl,0.016852977676391455,0.007492296315757197,0.04200495147705177,0.027873656122602314,0.026908273097991757,0.013156618930315776,0.04592498198700253,0.02910833327770292,0.012317001819610632,0.003627906125584339
MeanAveragePooling,swav,0.019251599712372815,0.011039192961038169,0.11813660526275785,0.03253892301760777,0.11370827614974716,0.011703864863335594,0.036048432743071485,0.0246492377934626,0.06172461509704459,0.0031197944242796574
MeanAveragePooling,swin,0.12410595695495934,0.02055547641478568,0.11278682613372766,0.034074783129147725,0.0089082545013423,0.008221190635888503,0.1130125249977097,0.03916393574052466,0.06469416618347254,0.008129511908197641
MeanAveragePooling,vit,0.08778387586593524,0.007742401172432079,0.17024566793441118,0.037622660978132175,0.028079707023619636,0.014526695539168178,0.06609896079253928,0.02828953058043601,0.029863333702086898,0.0036674107165719258
Transformer,bt,0.040734158397674976,0.026101723569393706,0.04838431364059589,0.02733033764586791,0.07406826407257197,0.04054876843223957,0.04595441244506638,0.03260228575502572,0.033717973667146295,0.02907697092418304
Transformer,ctranspath,0.05204198205566439,0.036445898852594305,0.03634727483749171,0.04035517019463295,0.05855397373977705,0.041355684507447366,0.01927092693710367,0.021109421288290832,0.010319443183898665,0.01566606635844071
Transformer,dino_p16,0.04844401919936991,0.03718337257094039,0.022509806213378534,0.0295812318820576,0.030639688079986717,0.033468896509435166,0.024602014049531083,0.01966054826555435,0.03522082133865406,0.027677283163997243
